epoch 0, test loss is 0.5287,  test sen is 0.0000, test spe is 0.0588, test F1 is 0.0001, test acc is 0.8981, test kappa is -0.0000, 
epoch 102, test loss is 0.2416,  test sen is 0.5240, test spe is 0.3529, test F1 is 0.4218, test acc is 0.8536, test kappa is 0.3416, 
epoch 103, test loss is 0.2278,  test sen is 0.5305, test spe is 0.3844, test F1 is 0.4458, test acc is 0.8656, test kappa is 0.3715, 
epoch 104, test loss is 0.2166,  test sen is 0.4496, test spe is 0.4802, test F1 is 0.4644, test acc is 0.8943, test kappa is 0.4059, 
epoch 105, test loss is 0.2458,  test sen is 0.5701, test spe is 0.3436, test F1 is 0.4288, test acc is 0.8452, test kappa is 0.3456, 
epoch 106, test loss is 0.2215,  test sen is 0.4743, test spe is 0.4192, test F1 is 0.4450, test acc is 0.8795, test kappa is 0.3777, 
epoch 107, test loss is 0.2293,  test sen is 0.6101, test spe is 0.3812, test F1 is 0.4692, test acc is 0.8594, test kappa is 0.3931, 
epoch 108, test loss is 0.2592,  test sen is 0.6329, test spe is 0.3172, test F1 is 0.4226, test acc is 0.8238, test kappa is 0.3319, 
epoch 109, test loss is 0.2314,  test sen is 0.5609, test spe is 0.3757, test F1 is 0.4499, test acc is 0.8603, test kappa is 0.3735, 
epoch 110, test loss is 0.2170,  test sen is 0.5046, test spe is 0.4604, test F1 is 0.4815, test acc is 0.8892, test kappa is 0.4196, 
epoch 111, test loss is 0.2211,  test sen is 0.5555, test spe is 0.4299, test F1 is 0.4847, test acc is 0.8796, test kappa is 0.4178, 
epoch 112, test loss is 0.2399,  test sen is 0.5462, test spe is 0.3817, test F1 is 0.4494, test acc is 0.8636, test kappa is 0.3744, 
epoch 113, test loss is 0.2291,  test sen is 0.4855, test spe is 0.4306, test F1 is 0.4564, test acc is 0.8822, test kappa is 0.3906, 
epoch 114, test loss is 0.2331,  test sen is 0.4885, test spe is 0.4045, test F1 is 0.4425, test acc is 0.8746, test kappa is 0.3726, 
epoch 115, test loss is 0.2374,  test sen is 0.4946, test spe is 0.4261, test F1 is 0.4578, test acc is 0.8806, test kappa is 0.3912, 
epoch 116, test loss is 0.2237,  test sen is 0.4558, test spe is 0.4544, test F1 is 0.4551, test acc is 0.8888, test kappa is 0.3932, 
epoch 117, test loss is 0.2430,  test sen is 0.5597, test spe is 0.3582, test F1 is 0.4368, test acc is 0.8529, test kappa is 0.3569, 
epoch 118, test loss is 0.2266,  test sen is 0.4926, test spe is 0.3810, test F1 is 0.4297, test acc is 0.8668, test kappa is 0.3556, 
epoch 119, test loss is 0.2506,  test sen is 0.5004, test spe is 0.3762, test F1 is 0.4295, test acc is 0.8646, test kappa is 0.3544, 
epoch 120, test loss is 0.2365,  test sen is 0.5570, test spe is 0.3720, test F1 is 0.4461, test acc is 0.8591, test kappa is 0.3690, 
epoch 121, test loss is 0.2359,  test sen is 0.4916, test spe is 0.3947, test F1 is 0.4379, test acc is 0.8714, test kappa is 0.3662, 
epoch 122, test loss is 0.2244,  test sen is 0.4951, test spe is 0.4178, test F1 is 0.4532, test acc is 0.8783, test kappa is 0.3852, 
epoch 123, test loss is 0.2224,  test sen is 0.5423, test spe is 0.4241, test F1 is 0.4760, test acc is 0.8783, test kappa is 0.4083, 
epoch 124, test loss is 0.2339,  test sen is 0.5043, test spe is 0.4065, test F1 is 0.4501, test acc is 0.8745, test kappa is 0.3802, 
epoch 125, test loss is 0.2341,  test sen is 0.4360, test spe is 0.4424, test F1 is 0.4392, test acc is 0.8865, test kappa is 0.3760, 
epoch 126, test loss is 0.2366,  test sen is 0.4503, test spe is 0.4158, test F1 is 0.4324, test acc is 0.8795, test kappa is 0.3651, 
epoch 127, test loss is 0.2653,  test sen is 0.4163, test spe is 0.4963, test F1 is 0.4528, test acc is 0.8975, test kappa is 0.3967, 
epoch 128, test loss is 0.2338,  test sen is 0.5123, test spe is 0.4275, test F1 is 0.4661, test acc is 0.8804, test kappa is 0.3994, 
epoch 129, test loss is 0.2556,  test sen is 0.4002, test spe is 0.4497, test F1 is 0.4235, test acc is 0.8890, test kappa is 0.3623, 
epoch 130, test loss is 0.2653,  test sen is 0.4028, test spe is 0.4891, test F1 is 0.4417, test acc is 0.8963, test kappa is 0.3851, 
epoch 131, test loss is 0.2477,  test sen is 0.4508, test spe is 0.4563, test F1 is 0.4535, test acc is 0.8893, test kappa is 0.3919, 
epoch 132, test loss is 0.2308,  test sen is 0.4250, test spe is 0.4910, test F1 is 0.4556, test acc is 0.8965, test kappa is 0.3988, 
epoch 133, test loss is 0.2526,  test sen is 0.4376, test spe is 0.4723, test F1 is 0.4543, test acc is 0.8929, test kappa is 0.3950, 
epoch 134, test loss is 0.2490,  test sen is 0.3861, test spe is 0.5084, test F1 is 0.4389, test acc is 0.8994, test kappa is 0.3848, 
epoch 135, test loss is 0.2181,  test sen is 0.5859, test spe is 0.4607, test F1 is 0.5158, test acc is 0.8879, test kappa is 0.4535, 
epoch 136, test loss is 0.2552,  test sen is 0.6977, test spe is 0.3415, test F1 is 0.4585, test acc is 0.8321, test kappa is 0.3727, 
epoch 137, test loss is 0.2359,  test sen is 0.4780, test spe is 0.4564, test F1 is 0.4670, test acc is 0.8888, test kappa is 0.4049, 
epoch 138, test loss is 0.2007,  test sen is 0.5474, test spe is 0.5460, test F1 is 0.5467, test acc is 0.9075, test kappa is 0.4952, 
epoch 139, test loss is 0.2125,  test sen is 0.4151, test spe is 0.5708, test F1 is 0.4806, test acc is 0.9086, test kappa is 0.4319, 
epoch 140, test loss is 0.2167,  test sen is 0.5160, test spe is 0.4664, test F1 is 0.4900, test acc is 0.8905, test kappa is 0.4288, 
epoch 141, test loss is 0.2442,  test sen is 0.4212, test spe is 0.4850, test F1 is 0.4508, test acc is 0.8954, test kappa is 0.3934, 
epoch 142, test loss is 0.2383,  test sen is 0.3901, test spe is 0.5004, test F1 is 0.4384, test acc is 0.8982, test kappa is 0.3834, 
epoch 143, test loss is 0.2092,  test sen is 0.4857, test spe is 0.5477, test F1 is 0.5148, test acc is 0.9067, test kappa is 0.4635, 
epoch 144, test loss is 0.2142,  test sen is 0.5846, test spe is 0.4423, test F1 is 0.5036, test acc is 0.8826, test kappa is 0.4385, 
epoch 145, test loss is 0.2081,  test sen is 0.6537, test spe is 0.4766, test F1 is 0.5513, test acc is 0.8916, test kappa is 0.4913, 
epoch 146, test loss is 0.2145,  test sen is 0.5084, test spe is 0.5648, test F1 is 0.5351, test acc is 0.9100, test kappa is 0.4854, 
epoch 147, test loss is 0.2143,  test sen is 0.5865, test spe is 0.4688, test F1 is 0.5211, test acc is 0.8902, test kappa is 0.4599, 
epoch 148, test loss is 0.2323,  test sen is 0.4964, test spe is 0.4295, test F1 is 0.4605, test acc is 0.8815, test kappa is 0.3944, 
epoch 149, test loss is 0.2554,  test sen is 0.4572, test spe is 0.4273, test F1 is 0.4418, test acc is 0.8823, test kappa is 0.3760, 
epoch 150, test loss is 0.2293,  test sen is 0.5355, test spe is 0.4706, test F1 is 0.5009, test acc is 0.8913, test kappa is 0.4402, 
epoch 151, test loss is 0.4466,  test sen is 0.7568, test spe is 0.2666, test F1 is 0.3944, test acc is 0.7631, test kappa is 0.2869, 
epoch 152, test loss is 0.3502,  test sen is 0.5800, test spe is 0.3662, test F1 is 0.4490, test acc is 0.8549, test kappa is 0.3703, 
epoch 153, test loss is 0.4068,  test sen is 0.6542, test spe is 0.2978, test F1 is 0.4093, test acc is 0.8076, test kappa is 0.3131, 
epoch 154, test loss is 0.2422,  test sen is 0.5799, test spe is 0.4353, test F1 is 0.4973, test acc is 0.8806, test kappa is 0.4311, 
epoch 155, test loss is 0.2333,  test sen is 0.3644, test spe is 0.5261, test F1 is 0.4306, test acc is 0.9018, test kappa is 0.3788, 
epoch 156, test loss is 0.2154,  test sen is 0.4837, test spe is 0.4939, test F1 is 0.4887, test acc is 0.8969, test kappa is 0.4314, 
epoch 157, test loss is 0.2147,  test sen is 0.5091, test spe is 0.4998, test F1 is 0.5044, test acc is 0.8981, test kappa is 0.4476, 
epoch 158, test loss is 0.2254,  test sen is 0.4769, test spe is 0.4814, test F1 is 0.4791, test acc is 0.8944, test kappa is 0.4204, 
epoch 159, test loss is 0.2270,  test sen is 0.4121, test spe is 0.5688, test F1 is 0.4780, test acc is 0.9083, test kappa is 0.4291, 
epoch 160, test loss is 0.2307,  test sen is 0.4296, test spe is 0.5150, test F1 is 0.4684, test acc is 0.9006, test kappa is 0.4141, 
epoch 161, test loss is 0.2330,  test sen is 0.3764, test spe is 0.6237, test F1 is 0.4695, test acc is 0.9133, test kappa is 0.4254, 
epoch 162, test loss is 0.2110,  test sen is 0.4420, test spe is 0.5269, test F1 is 0.4808, test acc is 0.9027, test kappa is 0.4275, 
epoch 163, test loss is 0.2182,  test sen is 0.5473, test spe is 0.4839, test F1 is 0.5136, test acc is 0.8944, test kappa is 0.4547, 
epoch 164, test loss is 0.2391,  test sen is 0.4204, test spe is 0.5677, test F1 is 0.4831, test acc is 0.9083, test kappa is 0.4340, 
epoch 165, test loss is 0.2077,  test sen is 0.4815, test spe is 0.6010, test F1 is 0.5347, test acc is 0.9146, test kappa is 0.4883, 
epoch 166, test loss is 0.2300,  test sen is 0.5096, test spe is 0.4635, test F1 is 0.4855, test acc is 0.8899, test kappa is 0.4240, 
epoch 167, test loss is 0.2308,  test sen is 0.5354, test spe is 0.4585, test F1 is 0.4940, test acc is 0.8882, test kappa is 0.4316, 
epoch 168, test loss is 0.2511,  test sen is 0.5200, test spe is 0.3777, test F1 is 0.4376, test acc is 0.8638, test kappa is 0.3623, 
epoch 169, test loss is 0.2306,  test sen is 0.5949, test spe is 0.4138, test F1 is 0.4881, test acc is 0.8728, test kappa is 0.4181, 
epoch 170, test loss is 0.2498,  test sen is 0.6621, test spe is 0.3595, test F1 is 0.4660, test acc is 0.8454, test kappa is 0.3848, 
epoch 171, test loss is 0.2322,  test sen is 0.5977, test spe is 0.4225, test F1 is 0.4950, test acc is 0.8758, test kappa is 0.4266, 
epoch 172, test loss is 0.2312,  test sen is 0.6919, test spe is 0.3854, test F1 is 0.4950, test acc is 0.8562, test kappa is 0.4190, 
epoch 173, test loss is 0.2463,  test sen is 0.7091, test spe is 0.3677, test F1 is 0.4843, test acc is 0.8461, test kappa is 0.4044, 
epoch 174, test loss is 0.2380,  test sen is 0.5374, test spe is 0.4346, test F1 is 0.4806, test acc is 0.8816, test kappa is 0.4146, 
epoch 175, test loss is 0.2343,  test sen is 0.6853, test spe is 0.3917, test F1 is 0.4985, test acc is 0.8595, test kappa is 0.4237, 
epoch 176, test loss is 0.2384,  test sen is 0.6865, test spe is 0.3715, test F1 is 0.4821, test acc is 0.8497, test kappa is 0.4032, 
epoch 177, test loss is 0.2408,  test sen is 0.6169, test spe is 0.4118, test F1 is 0.4939, test acc is 0.8712, test kappa is 0.4234, 
epoch 178, test loss is 0.2368,  test sen is 0.5819, test spe is 0.3973, test F1 is 0.4722, test acc is 0.8675, test kappa is 0.3995, 
epoch 179, test loss is 0.2367,  test sen is 0.5267, test spe is 0.4546, test F1 is 0.4880, test acc is 0.8874, test kappa is 0.4251, 
epoch 180, test loss is 0.2331,  test sen is 0.4973, test spe is 0.5150, test F1 is 0.5060, test acc is 0.9011, test kappa is 0.4511, 
epoch 181, test loss is 0.2455,  test sen is 0.5168, test spe is 0.4827, test F1 is 0.4992, test acc is 0.8943, test kappa is 0.4402, 
epoch 182, test loss is 0.2392,  test sen is 0.5178, test spe is 0.4954, test F1 is 0.5064, test acc is 0.8971, test kappa is 0.4490, 
epoch 183, test loss is 0.2486,  test sen is 0.5326, test spe is 0.4822, test F1 is 0.5061, test acc is 0.8941, test kappa is 0.4470, 
epoch 184, test loss is 0.2551,  test sen is 0.5297, test spe is 0.4754, test F1 is 0.5011, test acc is 0.8925, test kappa is 0.4411, 
epoch 185, test loss is 0.2461,  test sen is 0.5471, test spe is 0.4719, test F1 is 0.5067, test acc is 0.8915, test kappa is 0.4461, 
epoch 186, test loss is 0.2559,  test sen is 0.5228, test spe is 0.4814, test F1 is 0.5013, test acc is 0.8940, test kappa is 0.4421, 
epoch 187, test loss is 0.2581,  test sen is 0.5227, test spe is 0.4967, test F1 is 0.5094, test acc is 0.8974, test kappa is 0.4521, 
epoch 188, test loss is 0.2579,  test sen is 0.5227, test spe is 0.5000, test F1 is 0.5111, test acc is 0.8981, test kappa is 0.4543, 
epoch 189, test loss is 0.2553,  test sen is 0.5179, test spe is 0.5016, test F1 is 0.5096, test acc is 0.8984, test kappa is 0.4530, 
epoch 190, test loss is 0.2538,  test sen is 0.5336, test spe is 0.4805, test F1 is 0.5057, test acc is 0.8937, test kappa is 0.4463, 
epoch 191, test loss is 0.2563,  test sen is 0.5177, test spe is 0.4903, test F1 is 0.5036, test acc is 0.8960, test kappa is 0.4456, 
epoch 192, test loss is 0.2568,  test sen is 0.5485, test spe is 0.4607, test F1 is 0.5008, test acc is 0.8886, test kappa is 0.4387, 
epoch 193, test loss is 0.2623,  test sen is 0.5451, test spe is 0.4681, test F1 is 0.5037, test acc is 0.8905, test kappa is 0.4425, 
epoch 194, test loss is 0.2542,  test sen is 0.5531, test spe is 0.4693, test F1 is 0.5077, test acc is 0.8907, test kappa is 0.4468, 
epoch 195, test loss is 0.2663,  test sen is 0.5235, test spe is 0.4840, test F1 is 0.5030, test acc is 0.8946, test kappa is 0.4441, 
